id,url,title,dateIssued,pdfUrl,thumbUrl
6856,http://digitallibrary.amnh.org/handle/2246/6856?show=full,"Annual report, 2016 and Fiscal year 2016 scientific publications bibliography",2016,http://digitallibrary.amnh.org/bitstream/handle/2246/6856/R2016.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6856/R2016.pdf.jpg?sequence=6&isAllowed=y
6844,http://digitallibrary.amnh.org/handle/2246/6844?show=full,"Annual report, 2015 and Fiscal year 2015 scientific publications bibliography",2015,http://digitallibrary.amnh.org/bitstream/handle/2246/6844/R2015.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6844/R2015.pdf.jpg?sequence=6&isAllowed=y
6610,http://digitallibrary.amnh.org/handle/2246/6610?show=full,"Annual report, 2014 and Fiscal year 2014 scientific publications bibliography",2014,http://digitallibrary.amnh.org/bitstream/handle/2246/6610/AMNH_AR2014_FINAL.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6610/AMNH_AR2014_FINAL.pdf.jpg?sequence=5&isAllowed=y
6609,http://digitallibrary.amnh.org/handle/2246/6609?show=full,"Annual report, 2012-2013 and Fiscal year 2012 and 2013 scientific publications bibliography",2013,http://digitallibrary.amnh.org/bitstream/handle/2246/6609/AMNH_ANNUAL%20REPORT_FY12-13.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6609/AMNH_ANNUAL%20REPORT_FY12-13.pdf.jpg?sequence=5&isAllowed=y
6608,http://digitallibrary.amnh.org/handle/2246/6608?show=full,"Annual report, 1909.",1910-05-01,http://digitallibrary.amnh.org/bitstream/handle/2246/6608/R1909.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6608/R1909.pdf.jpg?sequence=4&isAllowed=y
6546,http://digitallibrary.amnh.org/handle/2246/6546?show=full,"Annual report, 2012-2013, scientific publications bibliography.",2014-08-05,http://digitallibrary.amnh.org/bitstream/handle/2246/6546/FISCAL%20YEAR%202012%20and%202013%20Scientific%20Publications%20Feb7%20%281%29.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6546/FISCAL%20YEAR%202012%20and%202013%20Scientific%20Publications%20Feb7%20%281%29.pdf.jpg?sequence=4&isAllowed=y
6308,http://digitallibrary.amnh.org/handle/2246/6308?show=full,"Annual report, 1993-1994.",1994,http://digitallibrary.amnh.org/bitstream/handle/2246/6308/R1993.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6308/R1993.pdf.jpg?sequence=4&isAllowed=y
6307,http://digitallibrary.amnh.org/handle/2246/6307?show=full,"Annual report, 1992-1993.",1993,http://digitallibrary.amnh.org/bitstream/handle/2246/6307/R1992.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6307/R1992.pdf.jpg?sequence=4&isAllowed=y
6306,http://digitallibrary.amnh.org/handle/2246/6306?show=full,"Annual report, 1991-1992.",1992,http://digitallibrary.amnh.org/bitstream/handle/2246/6306/R1991.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6306/R1991.pdf.jpg?sequence=4&isAllowed=y
6305,http://digitallibrary.amnh.org/handle/2246/6305?show=full,"Annual report, 1990-1991.",1991,http://digitallibrary.amnh.org/bitstream/handle/2246/6305/R1990.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6305/R1990.pdf.jpg?sequence=4&isAllowed=y
