id,type,name,url
amnhc_0000001,Museum,American Museum of Natural History,http://data.library.amnh.org/archives-authorities/id/amnhc_0000001
amnhc_2000002,Expedition,Elliott-Richardson Expedition to Montana,http://data.library.amnh.org/archives-authorities/id/amnhc_2000002
amnhc_2000003,Expedition,Richardson Expedition to Maine,http://data.library.amnh.org/archives-authorities/id/amnhc_2000003
amnhc_2000004,Expedition,Richardson-Rowley Expedition to Indian Territory of Panhandle of Texas,http://data.library.amnh.org/archives-authorities/id/amnhc_2000004
amnhc_2000005,Expedition,E. A. Mearns Arizona Expedition,http://data.library.amnh.org/archives-authorities/id/amnhc_2000005
amnhc_2000006,Expedition,Audley C. Buller Southern Mexico Expedition,http://data.library.amnh.org/archives-authorities/id/amnhc_2000006
amnhc_2000007,Expedition,Clark P. Streator British Columbia Expedition,http://data.library.amnh.org/archives-authorities/id/amnhc_2000007
amnhc_2000008,Expedition,Chapman Expeditions to Florida,http://data.library.amnh.org/archives-authorities/id/amnhc_2000008
amnhc_2000009,Expedition,W.E.D. Scott Expedition to Florida,http://data.library.amnh.org/archives-authorities/id/amnhc_2000009
amnhc_2000010,Expedition,Lumholtz Expeditions to Mexico (1890-1898),http://data.library.amnh.org/archives-authorities/id/amnhc_2000010
amnhp_1001310,Person,"Lumholtz, Carl, 1851-1922",http://data.library.amnh.org/archives-authorities/id/amnhp_1001310
amnhp_1001033,Person,"Hrdlička, Aleš, 1869-1943",http://data.library.amnh.org/archives-authorities/id/amnhp_1001033
amnhc_2000011,Expedition,Wortman Expeditions,http://data.library.amnh.org/archives-authorities/id/amnhc_2000011
amnhc_2000012,Expedition,Explore21 Expedition to Papua New Guinea,http://data.library.amnh.org/archives-authorities/id/amnhc_2000012
amnhc_2000013,Expedition,Chapman Field Trip to Texas,http://data.library.amnh.org/archives-authorities/id/amnhc_2000013
amnhc_2000014,Expedition,Illustrated American Expedition to the San Juan Region (1892),http://data.library.amnh.org/archives-authorities/id/amnhc_2000014
amnhc_2000015,Expedition,Richardson Expedition to Florida (1892),http://data.library.amnh.org/archives-authorities/id/amnhc_2000015
amnhc_2000016,Expedition,Mearns Expedition to Minnesota,http://data.library.amnh.org/archives-authorities/id/amnhc_2000016
amnhc_2000017,Expedition,Villard-Bandelier Expedition to Peru and Bolivia,http://data.library.amnh.org/archives-authorities/id/amnhc_2000017
amnhc_2000018,Expedition,Wortman Expedition to the Rocky Mountains,http://data.library.amnh.org/archives-authorities/id/amnhc_2000018
amnhc_2000019,Expedition,Chapman Expedition to Cuba,http://data.library.amnh.org/archives-authorities/id/amnhc_2000019
amnhc_2000020,Expedition,Wortman Expedition to the Rocky Mountains,http://data.library.amnh.org/archives-authorities/id/amnhc_2000020
amnhc_2000021,Expedition,Trinidad Expeditions,http://data.library.amnh.org/archives-authorities/id/amnhc_2000021
amnhc_2000022,Expedition,New Brunswick Expedition of the American Museum of Natural History (1893),http://data.library.amnh.org/archives-authorities/id/amnhc_2000022
amnhc_2000023,Expedition,Boas Expedition to Northwest Territories,http://data.library.amnh.org/archives-authorities/id/amnhc_2000023
amnhc_2000024,Expedition,Honduras Expedition,http://data.library.amnh.org/archives-authorities/id/amnhc_2000024
amnhc_2000025,Expedition,Weber Expedition to Sumatra,http://data.library.amnh.org/archives-authorities/id/amnhc_2000025
amnhc_2000026,Expedition,Wortman Paleontological Expeditions,http://data.library.amnh.org/archives-authorities/id/amnhc_2000026
amnhc_2000027,Expedition,Peary Expedition to Greenland (5th : 1895),http://data.library.amnh.org/archives-authorities/id/amnhc_2000027
amnhc_2000028,Expedition,Bone Cabin Quarry,http://data.library.amnh.org/archives-authorities/id/amnhc_2000028
amnhc_2000029,Expedition,Hyde Exploring Expedition,http://data.library.amnh.org/archives-authorities/id/amnhc_2000029
amnhc_2000736,Expedition,Whitmore Exploring Expedition,http://data.library.amnh.org/archives-authorities/id/amnhc_2000736
