id,type,name,date,fromdate,todate,datetype,dateevent,datename,daterelation,dateplace,lon,lat,match
amnhc_2000002,Expedition,Elliott-Richardson Expedition to Montana,1869,,,existdates,,,,,-110.362566,46.879682,Montana
amnhc_2000003,Expedition,Richardson Expedition to Maine,1888,,,existdates,,,,Maine,-69.445469,45.253783,Maine
amnhc_2000004,Expedition,Richardson-Rowley Expedition to Indian Territory of Panhandle of Texas,1889,,,existdates,,,,"Indian Territory, Panhandle of Texas",71.876519,-6.343194,British Indian Ocean Territory
amnhc_2000005,Expedition,E. A. Mearns Arizona Expedition,1889,,,existdates,,,,"Indian Territory, Panhandle of Texas",-111.093731,34.048928,Arizona
amnhc_2000006,Expedition,Audley C. Buller Southern Mexico Expedition,1889,,,existdates,,,,"Indian Territory, Panhandle of Texas",-105.032363,34.97273,New Mexico
amnhc_2000007,Expedition,Clark P. Streator British Columbia Expedition,1889,,,existdates,,,,"Indian Territory, Panhandle of Texas",71.876519,-6.343194,British Indian Ocean Territory
amnhc_2000008,Expedition,Chapman Expeditions to Florida,1889,,,existdates,,,,"Indian Territory, Panhandle of Texas",-81.515754,27.664827,Florida
amnhc_2000009,Expedition,W.E.D. Scott Expedition to Florida,1890,,,existdates,,,,"Florida, mainly along coast",-81.515754,27.664827,Florida
amnhc_2000010,Expedition,Lumholtz Expeditions to Mexico (1890-1898),1890,,,existdates,,,,"Florida, mainly along coast",-105.032363,34.97273,New Mexico
amnhc_2000011,Expedition,Wortman Expeditions,1890,,,existdates,,,,"Florida, mainly along coast",,,
amnhc_2000012,Expedition,Explore21 Expedition to Papua New Guinea,2014,,,existdates,,,,Papua New Guinea (interior),143.95555,-6.314993,Papua New Guinea
amnhc_2000013,Expedition,Chapman Field Trip to Texas,1891-03,,,existdates,,,,Corpus Christi (Texas),-99.901813,31.968599,Texas
amnhc_2000014,Expedition,Illustrated American Expedition to the San Juan Region (1892),1892,,,existdates,,,,"San Juan region (Colo.), New Mexico",-105.032363,34.97273,New Mexico
amnhc_2000015,Expedition,Richardson Expedition to Florida (1892),1892,,,existdates,,,,"Brevard County, Florida",-81.515754,27.664827,Florida
amnhc_2000016,Expedition,Mearns Expedition to Minnesota,1892,,,existdates,,,,Minnesota,-94.6859,46.729553,Minnesota
amnhc_2000017,Expedition,Villard-Bandelier Expedition to Peru and Bolivia,1892,,,existdates,,,,Minnesota,-63.588653,-16.290154,Bolivia
amnhc_2000018,Expedition,Wortman Expedition to the Rocky Mountains,1892,,,existdates,,,,Minnesota,-94.6859,46.729553,Minnesota
amnhc_2000019,Expedition,Chapman Expedition to Cuba,1892,,,existdates,,,,Minnesota,-77.781167,21.521757,Cuba
amnhc_2000020,Expedition,Wortman Expedition to the Rocky Mountains,1895,,,existdates,,,,"Bridger Basin, Wyoming",-107.290284,43.075968,Wyoming
amnhc_2000021,Expedition,Trinidad Expeditions,1894,,,existdates,,,,South Central Trinidad Expeditions,-61.222503,10.691803,Trinidad and Tobago
amnhc_2000021,Expedition,Trinidad Expeditions,,1893,1894,existdates,,,,South Central Trinidad Expeditions,-61.222503,10.691803,Trinidad and Tobago
amnhc_2000022,Expedition,New Brunswick Expedition of the American Museum of Natural History (1893),1894,,,existdates,,,,South Central Trinidad Expeditions,-61.222503,10.691803,Trinidad and Tobago
amnhc_2000023,Expedition,Boas Expedition to Northwest Territories,1894,,,existdates,,,,South Central Trinidad Expeditions,35.233154,31.952162,Palestinian Territories
amnhc_2000024,Expedition,Honduras Expedition,1894,,,existdates,,,,South Central Trinidad Expeditions,-86.241905,15.199999,Honduras
amnhc_2000025,Expedition,Weber Expedition to Sumatra,1894,,,existdates,,,,South Central Trinidad Expeditions,-61.222503,10.691803,Trinidad and Tobago
amnhc_2000026,Expedition,Wortman Paleontological Expeditions,1894,,,existdates,,,,South Central Trinidad Expeditions,-61.222503,10.691803,Trinidad and Tobago
amnhc_2000027,Expedition,Peary Expedition to Greenland (5th : 1895),1895,,,existdates,,,,Greenland,-42.604303,71.706936,Greenland
amnhc_2000028,Expedition,Bone Cabin Quarry,1895,,,existdates,,,,Greenland,-42.604303,71.706936,Greenland
amnhc_2000029,Expedition,Hyde Exploring Expedition,1893,,,place,,,,Chaco Canyon,,,
amnhc_2000029,Expedition,Hyde Exploring Expedition,1902,,,place,,,,Chaco Canyon,,,
amnhc_2000029,Expedition,Hyde Exploring Expedition,1888-12,,,chronitem,Richard Wetherill and Charles C. Mason rediscover Cliff Palace while searching for a stray calf.,,,,,,
amnhc_2000029,Expedition,Hyde Exploring Expedition,1888-05,,,chronitem,"An “Ancient Aztec Relics Collection ” excavated by Richard Wetherill and companions is displayed in Durango and later Denver, Colorado. The Colorado Historical Society purchases this “First Wetherill Collection” to prevent its removal from the state.",,,,-105.782067,39.550051,Colorado
amnhc_2000029,Expedition,Hyde Exploring Expedition,1892-08-12,,,chronitem,"Fred Hyde Sr., Fred Hyde Jr., and Benny Talbot Babbit Hyde visited cliff dwellings of Mesa Verde, Guided by “Richard.”",,,,,,
amnhc_2000029,Expedition,Hyde Exploring Expedition,1894,,,chronitem,Richard Wetherill takes the Hyde brothers on an expedition to Grand Gulch.,,,,,,
amnhc_2000029,Expedition,Hyde Exploring Expedition,1895,,,chronitem,Hyde brothers donate collection to AMNH.,,,,,,
amnhc_2000029,Expedition,Hyde Exploring Expedition,1896,,,chronitem,George Pepper named Assistant Curator of the Department of the Southwest and field director for Hyde Expeditions in Pueblo Bonito from 1896-1899.,,,,,,
amnhc_2000029,Expedition,Hyde Exploring Expedition,1897,,,chronitem,Hyde brothers donate second collection to AMNH,,,,,,
amnhc_2000029,Expedition,Hyde Exploring Expedition,1900,,,chronitem,Sante Fe Historical Society passes resolution against Hyde Exploring Expedition for “spoliation” of ruins.,,,,,,
amnhc_2000029,Expedition,Hyde Exploring Expedition,1902,,,chronitem,Federal Land Office restraining order against Hyde Exploring Expedition.,,,,,,
amnhc_2000029,Expedition,Hyde Exploring Expedition,1902-10,,,chronitem,AMNH hosts International Congress of Americanists and displays finds from Hyde Exploring Expedition.,,,,,,
amnhc_2000029,Expedition,Hyde Exploring Expedition,1903,,,chronitem,Hyde Exploring Expedition incorporated in New Mexico.,,,,,,
amnhc_2000029,Expedition,Hyde Exploring Expedition,1906,,,chronitem,Antiquities Act.,,,,,,
