id1,id2,type,role,date
amnhc_2000010,amnhp_1001310,,,
amnhc_2000010,amnhp_1001033,,,
amnhc_2000029,amnhc_2000736,identity,,1896
amnhc_2000029,amnhc_2000159,identity,,1920
amnhc_2000029,amnhp_1002220,identity,,1893
amnhc_2000029,amnhp_1001059,identity,,1893
amnhc_2000029,amnhp_1001060,identity,,1893
amnhc_2000029,amnhp_1001687,identity,,1899
amnhc_2000029,amnhp_1001609,identity,,1896
amnhc_2000029,amnhp_1002547,identity,,1899
amnhc_2000029,amnhp_1002548,identity,,1893
amnhc_2000029,amnhp_1002549,identity,,1893
amnhc_2000029,amnhp_1002550,identity,,1893
amnhc_2000029,amnhp_1002551,identity,,1893
amnhc_2000029,amnhp_1002552,identity,,1893
amnhc_2000029,amnhp_1002553,identity,,1893
amnhc_2000029,amnhp_1002554,identity,,1893
amnhc_2000029,amnhp_1002555,identity,,1891
amnhc_2000029,amnhp_1002556,identity,,
amnhc_2000029,amnhp_1002557,,,
amnhc_2000029,amnhp_1001673,,,1890
amnhc_2000029,http://id.loc.gov/authorities/names/n82083271,,,
amnhc_2000029,http://id.loc.gov/authorities/names/n82226347,,,1892
amnhc_2000029,http://id.loc.gov/authorities/names/n80008759,identity,,1893
amnhc_2000029,http://id.loc.gov/authorities/names/n82126294,,,1901
amnhc_2000029,http://id.loc.gov/authorities/names/n91094010,,,1904
amnhc_2000029,amnhp_1001033,identity,,1899
amnhc_2000038,amnhc_0000001,,,
amnhc_2000038,amnhp_1000214,,participantIn,
amnhc_2000038,amnhp_1000222,,participantIn,
amnhc_2000038,amnhp_1000681,,participantIn,
amnhc_2000038,amnhp_1001044,,participantIn,
amnhc_2000038,amnhp_1001097,,,
amnhc_2000038,amnhp_1002467,,participantIn,
amnhc_2000038,amnhp_1001098,,participantIn,
amnhc_2000038,amnhp_1001230,,participantIn,
amnhc_2000038,amnhp_1001949,,participantIn,
amnhc_2000038,amnhp_1002042,,participantIn,
amnhc_2000038,amnhp_1002072,,participantIn,
amnhc_2000049,amnhp_1001230,identity,participantIn,1901
amnhc_2000049,amnhp_1000214,identity,participantIn,
amnhc_2000049,amnhp_1001097,identity,participantIn,
amnhc_2000049,amnhp_1001852,identity,participantIn,
amnhc_2000049,http://id.loc.gov/authorities/names/n85815624,identity,,1903
amnhc_2000086,amnhc_0000001,identity,,
amnhc_2000086,http://id.loc.gov/authorities/names/n80126084,identity,,
