id,url,title,date,imageUrl,thumbUrl
311982,http://lbry-web-007.amnh.org/digital/items/show/22455,"High school students viewing exhibit, Darwin Hall, 1927",1927-08,http://lbry-web-007.amnh.org/digital/files/original/1794c6a0ce3a23042830763aef8fbd29.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/1794c6a0ce3a23042830763aef8fbd29.jpg
497,http://lbry-web-007.amnh.org/digital/items/show/25311,Geological Hall [1882-1904],[1882-1904],http://lbry-web-007.amnh.org/digital/files/original/39cd9b9e08428b63e9f97f6e9974c598.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/39cd9b9e08428b63e9f97f6e9974c598.jpg
337557,http://lbry-web-007.amnh.org/digital/items/show/47750,"Visitors view Tyrannosaurus rex and Triceratops, Dinosaur Hall, 1986",1986,http://lbry-web-007.amnh.org/digital/files/original/0d83ec4c583b85e228be06b950c3052b.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/0d83ec4c583b85e228be06b950c3052b.jpg
323429,http://lbry-web-007.amnh.org/digital/items/show/22567,"Oil derrick exhibit, Oil Geology Hall, March 21, 1955",1955-03-21,http://lbry-web-007.amnh.org/digital/files/original/4261095953f78e81ae2485389185be67.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/4261095953f78e81ae2485389185be67.jpg
33609,http://lbry-web-007.amnh.org/digital/items/show/48398,"Children with roller skates viewing Albert Bierstadt's The Landing of Columbus on Columbus Day, 1911",1911-10,http://lbry-web-007.amnh.org/digital/files/original/00162a618fde4e04b933675f3521b801.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/00162a618fde4e04b933675f3521b801.jpg
34261,http://lbry-web-007.amnh.org/digital/items/show/48397,"Public school classes studying forestry, [Wood Hall], 1914",1914-01,http://lbry-web-007.amnh.org/digital/files/original/7dd8d68d849ff1f52d395fbff231423e.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/7dd8d68d849ff1f52d395fbff231423e.jpg
39593,http://lbry-web-007.amnh.org/digital/items/show/47881,"Morgan Hall, 1922",1922,http://lbry-web-007.amnh.org/digital/files/original/507fab3ad3948ab7ad0b764eb2b7ceb7.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/507fab3ad3948ab7ad0b764eb2b7ceb7.jpg
38713,http://lbry-web-007.amnh.org/digital/items/show/47865,"Tyrannosaurus rex, [Hall of Fossil Reptiles], 1921",1921,http://lbry-web-007.amnh.org/digital/files/original/4f64c0a534c0b1426ca75bf43f41d6f9.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/4f64c0a534c0b1426ca75bf43f41d6f9.jpg
319972,http://lbry-web-007.amnh.org/digital/items/show/46977,"Whitney Memorial Hall of Pacific Bird Life, Birds of Paradise Group, center, 1946",1946,http://lbry-web-007.amnh.org/digital/files/original/86c05cace5d195a1e009679dc95e477a.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/86c05cace5d195a1e009679dc95e477a.jpg
31691,http://lbry-web-007.amnh.org/digital/items/show/48372,"School children attending lecture, photographed under ceremonial canoe, Northwest Coast Hall, 1907",1907-04-26,http://lbry-web-007.amnh.org/digital/files/original/93eb9dad411e74bfceddb367381db2e2.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/93eb9dad411e74bfceddb367381db2e2.jpg
317657,http://lbry-web-007.amnh.org/digital/items/show/48387,"Interior of Roosevelt Memorial, looking toward main entrance, 1940",1940-12-08,http://lbry-web-007.amnh.org/digital/files/original/c9008d630c4001d9c7cd1e463f594654.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/c9008d630c4001d9c7cd1e463f594654.jpg
321862A,http://lbry-web-007.amnh.org/digital/items/show/47005,"Visitors near entrance, Warburg Landscape Hall, 1951",1951-05,http://lbry-web-007.amnh.org/digital/files/original/8a664c0307f3fc9b2fe75036a134f7c7.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/8a664c0307f3fc9b2fe75036a134f7c7.jpg
32520,http://lbry-web-007.amnh.org/digital/items/show/47222,"Restoration of jaws of Carcharodon megalodon, Fossil Fish Hall, 1909",1909-10,http://lbry-web-007.amnh.org/digital/files/original/375dae93c20c28761343ecf6525e85ff.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/375dae93c20c28761343ecf6525e85ff.jpg
292818,http://lbry-web-007.amnh.org/digital/items/show/45949,"Assistant Curator Marian Lockwood with group of children in the Copernican Planetarium, Hayden Planetarium, 1940",1940-11,http://lbry-web-007.amnh.org/digital/files/original/961bbf5b440ae00525389568d50aaf76.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/961bbf5b440ae00525389568d50aaf76.jpg
328397,http://lbry-web-007.amnh.org/digital/items/show/47416,"The Sound-Trek in use, Brontosaurus Hall, 1961",1961,http://lbry-web-007.amnh.org/digital/files/original/a7020cd14f7fac0929ad63d20acb6519.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/a7020cd14f7fac0929ad63d20acb6519.jpg
31460,http://lbry-web-007.amnh.org/digital/items/show/46868,"Hall of Invertebrate Zoology, 1906",1906-03-10,http://lbry-web-007.amnh.org/digital/files/original/07bf6f9e92e553d6bcd23a37329d8e56.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/07bf6f9e92e553d6bcd23a37329d8e56.jpg
325729,http://lbry-web-007.amnh.org/digital/items/show/48356,"Dr. Parr and child, Smoky Mountain Group, Hall of North American Forests, 1953",1953,http://lbry-web-007.amnh.org/digital/files/original/c992b5d7b6e3df26f836a51430c33f2e.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/c992b5d7b6e3df26f836a51430c33f2e.jpg
334309,http://lbry-web-007.amnh.org/digital/items/show/47692,"I.B.M. Astronomia exhibit, 1800 section, Hayden Planetarium, 1969",1969-09,http://lbry-web-007.amnh.org/digital/files/original/423cf0719355d9e7e63d06fadf9d876c.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/423cf0719355d9e7e63d06fadf9d876c.jpg
314510,http://lbry-web-007.amnh.org/digital/items/show/48358,"Dr. Roy Chapman Andrews with skeleton of right whale, Hall of Ocean Life, 1934",1934-12,http://lbry-web-007.amnh.org/digital/files/original/cb8bee09641f38877ca326de1765a078.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/cb8bee09641f38877ca326de1765a078.jpg
1632,http://lbry-web-007.amnh.org/digital/items/show/41981,"The Blue Whale, Hall of Ocean Life, 1969",1969-06,http://lbry-web-007.amnh.org/digital/files/original/1690cfaddca8baa4f06982563dbc3520.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/1690cfaddca8baa4f06982563dbc3520.jpg
39573,http://lbry-web-007.amnh.org/digital/items/show/47878,"Children visiting Polar Bear Group, North American Mammal Hall, 1922",1922,http://lbry-web-007.amnh.org/digital/files/original/7e777fe07071ce9bcd230b6728bf5da4.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/7e777fe07071ce9bcd230b6728bf5da4.jpg
